cluster,cluster_subject_en,cluster_subject_no,model,prompt_version,context_hash
n_0,Celestial phenomena,Himmelfenomener,gpt-5.6-sol,approved-topic-label-no-v1,8894c570de098bb22b0cad2414c2e85a529583b7a2b5b655cad075397216b29a
n_1,Longyearbyen healthcare,Helsetjenester i Longyearbyen,gpt-5.6-sol,approved-topic-label-no-v1,88acb69f8efe396095690b10e5e5b634c12c1ddc9f5ba57c7e6b4231fae00c78
n_10,Annual TV Telethon,TV-aksjonen,gpt-5.6-sol,approved-topic-label-no-v1,5adcf2854dc3264bd3f1f09fa01397d813b5901c64c5efc8df531b6399b57c6d
n_11,Local sports,Lokalidrett,gpt-5.6-sol,approved-topic-label-no-v1,ca14370c49d5f5ac51e33a75a3d1dfe2bcddf3d2c1231e021c454fee1bae92fd
n_12,Community Celebrations and Commemorations,Lokale feiringer og markeringer,gpt-5.6-sol,approved-topic-label-no-v1,8cbda71602ac5cf10a83da55adc8116a2b68ad8ea1c2e2b21a70a70ed5973247
n_13,Svalbardposten newspaper,Avisen Svalbardposten,gpt-5.6-sol,approved-topic-label-no-v1,53ea9dcc850ba525ae4d494582b8fbc3554df6a9c9fbc48f33940b24f03319ba
n_14,Longyearbyen air travel,Flytrafikk til og fra Longyearbyen,gpt-5.6-sol,approved-topic-label-no-v1,f1100ee0c955ae07a34c9374cec68e11f144d34b40da558d546e08cdf7acb968
n_15,Performing arts,Scenekunst,gpt-5.6-sol,approved-topic-label-no-v1,d12904deff2867a3149c7affd08fbbf57652737acb1eae0b559fabd770301c14
n_16,Weather and climate,Vær og klima,gpt-5.6-sol,approved-topic-label-no-v1,9f50cf5ae69862897e527bfa8f5b51057b0062f9b8cf4bd92a2073dc5a7b183b
n_17,Art exhibitions,Kunstutstillinger,gpt-5.6-sol,approved-topic-label-no-v1,288f0b3e643d6d8ae49c710fc60fb8ba32a08376f5c710fdd19f95f110067301
n_18,Dark Season Blues,Dark Season Blues,gpt-5.6-sol,approved-topic-label-no-v1,433e5a448630df048ce3b16ae3fafb87d469e2b8a5fe94081d5d863b0c666f7c
n_19,Polarjazz Festival,Polarjazz,gpt-5.6-sol,approved-topic-label-no-v1,f1592c799a777f404869dd85744fa5ade1c0e75e26f452045182f9c9101ed908
n_2,Dogs on Svalbard,Hunder på Svalbard,gpt-5.6-sol,approved-topic-label-no-v1,335b051605c299b494ec3750707652cb44011cf738870b2d221d233004b86e0a
n_20,Longyearbyen Municipal Operations,Longyearbyen bydrift,gpt-5.6-sol,approved-topic-label-no-v1,17d0aa8b188e92b1dd407b4159d1454c0955b10cc19eb483663573c56e204211
n_21,UNIS education and research,Utdanning og forskning ved UNIS,gpt-5.6-sol,approved-topic-label-no-v1,7d5c7404ec48a28dd7f50f6e74486e915839688767c50dc869aca5040e244936
