id,original_cluster,revised_cluster,assignment_reason,review_status
101278,n_9,n_52,Hunting and fishing regulations,reviewed
101410,n_9,n_52,Hunting and fishing regulations,reviewed
104769,n_9,n_52,Hunting and fishing regulations,reviewed
105079,n_9,n_52,Hunting and fishing regulations,reviewed
107074,n_9,n_52,Hunting and fishing regulations,reviewed
107500,n_9,n_52,Hunting and fishing regulations,reviewed
108709,n_9,n_52,Hunting and fishing regulations,reviewed
110841,n_9,n_52,Hunting and fishing regulations,reviewed
111199,n_9,n_52,Hunting and fishing regulations,reviewed
111636,n_9,n_52,Hunting and fishing regulations,reviewed
112213,n_9,n_52,Hunting and fishing regulations,reviewed
114245,n_9,n_52,Hunting and fishing regulations,reviewed
116609,n_9,n_52,Hunting and fishing regulations,reviewed
118749,n_9,n_52,Hunting and fishing regulations,reviewed
121480,n_9,n_52,Hunting and fishing regulations,reviewed
124171,n_9,n_52,Hunting and fishing regulations,reviewed
125135,n_9,n_52,Hunting and fishing regulations,reviewed
131775,n_9,n_52,Hunting and fishing regulations,reviewed
134012,n_9,n_52,Hunting and fishing regulations,reviewed
139355,n_9,n_52,Hunting and fishing regulations,reviewed
140033,n_9,n_52,Hunting and fishing regulations,reviewed
146785,p_1,p_115,Svalbard earthquakes,reviewed
146899,p_1,p_115,Svalbard earthquakes,reviewed
146910,p_1,p_115,Svalbard earthquakes,reviewed
164156,p_1,p_115,Svalbard earthquakes,reviewed
170889,p_1,p_115,Svalbard earthquakes,reviewed
213410,p_1,p_115,Svalbard earthquakes,reviewed
492193,p_1,p_115,Svalbard earthquakes,reviewed
508555,p_1,p_115,Svalbard earthquakes,reviewed
537362,p_1,p_115,Svalbard earthquakes,reviewed
146929,p_104,p_120,Tourism leadership and sustainability,reviewed
148016,p_104,p_120,Tourism leadership and sustainability,reviewed
151543,p_104,p_120,Tourism leadership and sustainability,reviewed
170432,p_104,p_120,Tourism leadership and sustainability,reviewed
171296,p_104,p_120,Tourism leadership and sustainability,reviewed
172523,p_104,p_120,Tourism leadership and sustainability,reviewed
172796,p_104,p_120,Tourism leadership and sustainability,reviewed
174720,p_104,p_120,Tourism leadership and sustainability,reviewed
175360,p_104,p_120,Tourism leadership and sustainability,reviewed
177933,p_104,p_120,Tourism leadership and sustainability,reviewed
187444,p_104,p_120,Tourism leadership and sustainability,reviewed
189818,p_104,p_120,Tourism leadership and sustainability,reviewed
211792,p_104,p_120,Tourism leadership and sustainability,reviewed
215743,p_104,p_120,Tourism leadership and sustainability,reviewed
222488,p_104,p_120,Tourism leadership and sustainability,reviewed
222928,p_104,p_120,Tourism leadership and sustainability,reviewed
494269,p_104,p_120,Tourism leadership and sustainability,reviewed
146651,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
155970,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
162826,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
165302,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
166413,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
178681,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
181732,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
183838,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
189204,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
203592,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
207536,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
215436,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
215623,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
215640,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
220961,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
440142,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
451020,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
485036,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
509439,p_2,p_116,Mark Sabbatini and Icepeople,reviewed
148549,p_49,p_117,Field inspections and environmental enforcement,reviewed
159319,p_49,p_117,Field inspections and environmental enforcement,reviewed
169391,p_49,p_117,Field inspections and environmental enforcement,reviewed
198258,p_49,p_117,Field inspections and environmental enforcement,reviewed
209111,p_49,p_117,Field inspections and environmental enforcement,reviewed
216271,p_49,p_117,Field inspections and environmental enforcement,reviewed
486149,p_49,p_117,Field inspections and environmental enforcement,reviewed
491351,p_49,p_117,Field inspections and environmental enforcement,reviewed
505151,p_49,p_117,Field inspections and environmental enforcement,reviewed
537337,p_49,p_117,Field inspections and environmental enforcement,reviewed
201581,p_72,p_118,Contextual labeling required,reviewed
212600,p_72,p_118,Contextual labeling required,reviewed
214708,p_72,p_118,Contextual labeling required,reviewed
220482,p_72,p_118,Contextual labeling required,reviewed
230941,p_72,p_118,Contextual labeling required,reviewed
484053,p_72,p_118,Contextual labeling required,reviewed
486964,p_72,p_118,Contextual labeling required,reviewed
489138,p_72,p_118,Contextual labeling required,reviewed
491759,p_72,p_118,Contextual labeling required,reviewed
505079,p_72,p_118,Contextual labeling required,reviewed
510114,p_72,p_118,Contextual labeling required,reviewed
160427,p_77,p_119,Trails and visitor infrastructure,reviewed
162215,p_77,p_119,Trails and visitor infrastructure,reviewed
164224,p_77,p_119,Trails and visitor infrastructure,reviewed
165504,p_77,p_119,Trails and visitor infrastructure,reviewed
182325,p_77,p_119,Trails and visitor infrastructure,reviewed
189582,p_77,p_119,Trails and visitor infrastructure,reviewed
191232,p_77,p_119,Trails and visitor infrastructure,reviewed
